Name,Cost,Info,Links,Column 5,Column 6
PCB, $ 39.98 ,,PCB (img 2).png,,
Parts, $ 42.59 ,40.71 after $5 coupon,Parts (img 2).png,,
battery, $ 11.79 ,,Battery.png,https://www.aliexpress.us/item/3256808681500642.html?spm=a2g0o.cart.0.0.3cc138daOguHsf&mp=1&pdp_npi=5%40dis%21USD%21USD%2012.37%21USD%208.04%21%21USD%208.04%21%21%21%40210318a717669546096276904ef8a0%2112000047018637633%21ct%21US%21-1%21%211%210&gatewayAdapt=glo2usa,
Case and Keycaps (Shipping), $ 7.07 ,,Shipping (Case & Keycaps).png,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,With coupon,,
, $ 101.43 , $ 110.56 , $ 108.51 ,,
