Name,Cost,With Tax,Links,Links (Additional),Column 6,Column 1,Column 2,Column 3,Column 4,Column 5,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 25,Column 27
PCB, $ 37.50 ,,https://drive.google.com/file/d/1959B7aU0yXcRoiEhPKL7f8_TZMNGbxId/view,,,LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(USD),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Description,Product Link
Parts, $ 43.14 ,,https://drive.google.com/file/d/1eT5wwbHMu8irWbdyzTQDoIp_ezeuC_NU/view,https://drive.google.com/file/d/10kQmmBENU_pZNQ-ZYw2EzStenI3IcliA/view?usp=drive_link,<- BOM for parts ->,C49234238,HanElectricity(瀚源),CPG151101D01,Switches,SW-TH_CPG151101D9X,,-,88,,,CPG151101D01,HanElectricity,90,0.0809,7.28,C49234238,Through Hole,5,5,500,4065,In Stock,60gf Black Switch Through Hole Pushbutton Switches RoHS,https://www.lcsc.com/product-detail/C49234238.html
battery, $14.24,,https://www.amazon.com/gp/product/B0D7LVP6RD/ref=ox_sc_act_title_1?smid=A1NOQTMMT39TJ0,,,,C2907044,FOJAN(富捷),FRC0603F5101TS,Ressistor,R0603,,-,2,,,FRC0603F5101TS,FOJAN,100,0.0009,0.09,C2907044,603,100,100,5000,4839000,In Stock,5.1kΩ ±1% 100mW 0603 Thick Film Resistor,https://www.lcsc.com/product-detail/C2907044.html
Case and Keycaps (Shipping), $ 7.07 ,,https://drive.google.com/file/d/1fY9vsn8Mw1SYbBaPE8fCq7_2en8WSZ7o/view,,,C,SHOU HAN(首韩),TYPE-C 16PIN 2MD(073),USB-C,USB-C-SMD_TYPE-C-6PIN-2MD-073,,-,1,,,TYPE-C 16PIN 2MD(073),SHOU HAN,20,0.0631,1.26,C2765186,SMD,20,20,1000,366060,In Stock,"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle",https://www.lcsc.com/product-detail/C2765186.html
,,,,,,C1591,SAMSUNG(三星),CL10B104KB8NNNC,Capacitor,C0603,,-,2,,,CL10B104KB8NNNC,Samsung Electro-Mechanics,100,0.0026,0.26,C1591,603,100,100,4000,22834100,In Stock,100nF ±10% 50V Ceramic Capacitor X7R 0603,https://www.lcsc.com/product-detail/C1591.html
,,,,,,C784540,TCWIN(天成),TC5050RGBF08-3CJH-AF53A,Charging statusLEDs,LED-SMD_6P-L5.0-W5.0-TL_TC5050RGBF08,,-,1,,,TC5050RGBF08-3CJH-AF53A,TCWIN,20,0.0190,0.38,C784540,SMD5050-6P,20,20,1000,430820,In Stock,200mW SMD5050-6P LED Indication - Discrete RoHS,https://www.lcsc.com/product-detail/C784540.html
,,,,,,C21190,UNI-ROYAL(厚声),0603WAF1001T5E,Ressistor,R0603,,-,3,,,0603WAF1001T5E,UNI-ROYAL,100,0.0012,0.12,C21190,603,100,100,5000,33306700,In Stock,1kΩ ±1% 100mW 0603 Thick Film Resistor,https://www.lcsc.com/product-detail/C21190.html
,,,,,,C181692,INJOINIC(英集芯),IP5306,Charging Module,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,,-,1,,,IP5306,INJOINIC,5,0.2659,1.33,C181692,ESOP-8,5,5,4000,10230,In Stock,Lithium Battery I2C 2.1A ESOP-8 Battery Management RoHS,https://www.lcsc.com/product-detail/C181692.html
,,,,,,C2839970,YJYCOIN(益嘉源),YL160808-1R0K,Inductor,L0603,,-,1,,,YL160808-1R0K,YJYCOIN,50,0.0152,0.76,C2839970,603,50,50,4000,109750,In Stock,25mA 1uH ±10% 600mΩ 0603 Fixed Inductors RoHS,https://www.lcsc.com/product-detail/C2839970.html
,,,,,,C49393702,SAMZO(三佐),M22K095111F5,Wake-up button,SW-TH_4P-L7.5-W9.5,,-,1,,,M22K095111F5,SAMZO,5,0.2013,1.01,C49393702,Through Hole,5,5,1000,985,In Stock,1.8N SPST-NO 12V Through Hole Pushbutton Switches RoHS,https://www.lcsc.com/product-detail/C49393702.html
, $ 101.95 , $ 111.13 ,,,,C25804,UNI-ROYAL(厚声),0603WAF1002T5E,Ressistor,R0603,,-,6,,,0603WAF1002T5E,UNI-ROYAL,100,0.0011,0.11,C25804,603,100,100,5000,32974600,In Stock,10kΩ ±1% 100mW 0603 Thick Film Resistor,https://www.lcsc.com/product-detail/C25804.html
,,,,,,C43832,Chengx(承兴),KM108M016F16RR0VH2FP0,Capacitor,CAP-TH_BD8.0-P3.50-D0.5-FD,,-,1,,,KM108M016F16RR0VH2FP0,Chengx,10,0.0556,0.56,C43832,"Through Hole,D8xL16mm",10,10,500,82800,In Stock,"1000uF 16V Aluminum Electrolytic Capacitors Through Hole,D8xL16mm 2000hrs@105℃",https://www.lcsc.com/product-detail/C43832.html
,,,,,,C143790,BOURNS,PEC11R-4215F-S0024,Rotary Encoder,SW-TH_5P-L12.5-W13.4-P2.50-LS14.5,,-,1,,,PEC11R-4215F-S0024,BOURNS,1,2.4676,2.47,C143790,Through Hole,1,1,75,829,In Stock,Through Hole Encoders RoHS,https://www.lcsc.com/product-detail/C143790.html
,,,,,,C629440,MICROCHIP(美国微芯),MCP23017T-E/SO,GPIO Expander,SOIC-28_L17.9-W7.5-P1.27-LS10.3-BL,,-,2,,,MCP23017T-E/SO,MICROCHIP,2,1.9539,3.91,C629440,SOIC-28-300mil,1,1,1600,636,In Stock,16 I2C SOIC-28-300mil I/O Expanders RoHS,https://www.lcsc.com/product-detail/C629440.html
,,,,,,C2934560,ESPRESSIF(乐鑫),ESP32-C3-WROOM-02-N4,ESP-32,BULETM-SMD_ESPRESSIF_ESP32-C3-WROOM-02-N4-4MB,,-,1,,,ESP32-C3-WROOM-02-N4,ESPRESSIF,1,3.0674,3.07,C2934560,VFQFN-32-EP,1,1,650,7314,In Stock,2.4GHz ESP32-C3 Chip On-board PCB Antenna -98dBm VFQFN-32-EP RF Transceiver Modules and Modems RoHS,https://www.lcsc.com/product-detail/C2934560.html
,,,,,,C52140417,MDD(辰达半导体),74AHCT1G125GV,Logic level shifter,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,,-,1,,,74AHCT1G125GV,MDD(Microdiode Semiconductor),1,0.0741,0.07,C52140417,SOT-23-5L,1,1,3000,2744,In Stock,"1 40uA 4.5V~5.5V 1 1ns@4.5V SOT-23-5L Buffers, Drivers, Receivers, Transceivers RoHS",https://www.lcsc.com/product-detail/C52140417.html
,,,,,,C3029476,XUNPU(讯普),WAFER-XH2.54-2PWB,Batt connector,CONN-SMD_2P-P2.54-XH2.54-WT,,-,1,,,WAFER-XH2.54-2PWB,XUNPU,5,0.0707,0.35,C3029476,"SMD,P=2.5mm,Surface Mount,Right Angle",5,5,700,14525,In Stock,"Connector Header 2 position 2.5mm Pitch 3A Surface Mount, Right Angle -25℃~+85℃",https://www.lcsc.com/product-detail/C3029476.html
,,,,,,C455261,XUNPU(讯普),TS-1077S-02026,Button (EN and Boot),SW-SMD_L3.1-W3.1-P2.20-LS4.0,,-,2,,,TS-1077S-02026,XUNPU,10,0.0453,0.45,C455261,"SMD,3.1x3.1mm",10,10,4000,22540,In Stock,Tactile Switch SPST 2mm 3.1mm x 3.1mm Surface Mount,https://www.lcsc.com/product-detail/C455261.html
