PCB1_Xenon_KB,,,,,,,,,,LCSC BOM Quotation,,,,,,,,,,,,,,,
,,,,,,,,,,BOM Date Created：29/12/25 06:02:05,,,,BOM Export Date: 29/12/25 06:02:48,,,,"The matching result is a real-time query result, availability and prices may fluctuate.  
Backorder items are estimated prices for your reference, please submit ""Create Quote"" to get the real price.
All information is provided ""as is"" and is subject to change without notice.  Any use made of the information provided is without recourse to LCSC and at the user's risk.",,,,,,,
,,,,,,,,,,"EST TOTAL :$30.67
",,,,Website：https://www.lcsc.com/bom,,,,,,,,,,,
Uploaded data,,,,,,,,,,LCSC Matching Results,,,,,,,,,,,,,,,
LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(USD),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(USD),Ext.Price(USD),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
C49234238,HanElectricity(瀚源),CPG151101D01,,SW-TH_CPG151101D9X,,-,88,,,CPG151101D01,HanElectricity,90,0.0769,6.92,C49234238,Through Hole,5,5,500,4065,In Stock,,60gf Black Switch Through Hole Pushbutton Switches RoHS,Exact Matches,https://www.lcsc.com/product-detail/C49234238.html
C2907044,FOJAN(富捷),FRC0603F5101TS,,R0603,,-,2,,,FRC0603F5101TS,FOJAN,100,0.0009,0.09,C2907044,0603,100,100,5000,4839000,In Stock,,5.1kΩ ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C2907044.html
C,SHOU HAN(首韩),TYPE-C 16PIN 2MD(073),,USB-C-SMD_TYPE-C-6PIN-2MD-073,,-,1,,,TYPE-C 16PIN 2MD(073),SHOU HAN,20,0.0600,1.20,C2765186,SMD,20,20,1000,366060,In Stock,,"USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle",Partial Matches,https://www.lcsc.com/product-detail/C2765186.html
C1591,SAMSUNG(三星),CL10B104KB8NNNC,,C0603,,-,2,,,CL10B104KB8NNNC,Samsung Electro-Mechanics,100,0.0026,0.26,C1591,0603,100,100,4000,22834100,In Stock,,100nF ±10% 50V Ceramic Capacitor X7R 0603,Exact Matches,https://www.lcsc.com/product-detail/C1591.html
C784540,TCWIN(天成),TC5050RGBF08-3CJH-AF53A,,LED-SMD_6P-L5.0-W5.0-TL_TC5050RGBF08,,-,1,,,TC5050RGBF08-3CJH-AF53A,TCWIN,20,0.0190,0.38,C784540,SMD5050-6P,20,20,1000,430820,In Stock,,200mW SMD5050-6P LED Indication - Discrete RoHS,Exact Matches,https://www.lcsc.com/product-detail/C784540.html
C21190,UNI-ROYAL(厚声),0603WAF1001T5E,,R0603,,-,3,,,0603WAF1001T5E,UNI-ROYAL,100,0.0011,0.11,C21190,0603,100,100,5000,33306700,In Stock,,1kΩ ±1% 100mW 0603 Thick Film Resistor,Exact Matches,https://www.lcsc.com/product-detail/C21190.html
C181692,INJOINIC(英集芯),IP5306,,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,,-,1,,,IP5306,INJOINIC,5,0.2693,1.35,C181692,ESOP-8,5,5,4000,10230,In Stock,,Lithium Battery I2C 2.1A ESOP-8 Battery Management RoHS,Exact Matches,https://www.lcsc.com/product-detail/C181692.html
